,Boroughs,Population,Income
0,Algirós,68400,15105
1,Benicalap,33298,11520
2,Benimaclet,46868,14834
3,Camins al Grau,46154,13788
4,Campanar,35767,15126
5,Ciutat Vella,26542,19009
6,El Pla del Real,26491,20207
7,Extramurs,73050,16794
8,Jesús,47788,11825
9,La Saïdia,7022,13023
10,Patraix,40168,13331
11,Poblats Marítims,82178,11698
12,Pobles de l'Oest,13224,10843
13,Pobles del Nord,2273,14161
14,Pobles del Sud,32026,12066
15,Quatre Carreres,52940,12357
16,Rascanya,35308,11388
17,l'Eixample,76697,20299
18,l'Olivereta,35767,11410
